Name,District,TermBeginDate,TermEndDate,Officier
Martha R. Seger,Chicago,1984-07-02,1991-03-11,Governor
Michael S. Barr,Chicago,2022-07-19,,Governor
Michael S. Barr,Chicago,2022-07-19,,Vice Chair for Supervision
Michelle W. Bowman,St. Louis,2018-11-26,,Governor
Milo D. Campbell,Chicago,1923-03-14,1923-03-22,Governor
Nancy H. Teeters,Chicago,1978-09-18,1984-06-27,Governor
Ogden L. Mills,Secretary of the Treasury,1932-02-12,1933-03-04,Governor
Oliver S. Powell,Minneapolis,1950-09-01,1952-06-30,Governor
Paul A. Volcker,Philadelphia,1979-08-06,1987-08-11,Governor
Paul A. Volcker,Philadelphia,1979-08-06,1987-08-11,Chair
Paul E. Miller,Minneapolis,1954-08-13,1954-10-21,Governor
Paul M. Warburg,New York,1914-08-10,1918-08-09,Governor
"Philip C. Jackson, Jr.",Atlanta,1975-07-14,1978-11-17,Governor
Philip E. Coldwell,Dallas,1974-10-29,1980-02-29,Governor
Philip N. Jefferson,New York,2022-05-23,,Governor
Philip N. Jefferson,New York,2023-09-13,,Vice Chair
Preston Martin,San Francisco,1982-03-31,1986-04-30,Governor
Preston Martin,San Francisco,1982-03-31,1986-04-30,Vice Chair
Ralph W. Morrison,Dallas,1936-02-10,1936-07-09,Governor
Randal K. Quarles,Kansas City,2017-10-13,2021-10-13,Vice Chair for Supervision
Randal K. Quarles,Kansas City,2017-10-13,2021-12-25,Governor
Randall S. Kroszner,Richmond,2006-03-01,2009-01-21,Governor
Richard H. Clarida,Boston,2018-09-17,2022-01-14,Governor
Richard H. Clarida,Boston,2018-09-17,2022-01-14,Vice Chair
Robert C. Holland,Kansas City,1973-06-11,1976-05-15,Governor
"Roger W. Ferguson, Jr.",Boston,1997-11-05,2006-04-28,Governor
"Roger W. Ferguson, Jr.",Boston,1999-10-05,2006-04-28,Vice Chair
Ronald Ransom,Atlanta,1936-02-03,1947-12-02,Governor
Ronald Ransom,Atlanta,1936-08-06,1947-12-02,Vice Chair
Roy A. Young,Minneapolis,1927-10-04,1930-08-31,Governor
Rudolph M. Evans,Richmond,1942-03-14,1954-08-13,Governor
Sarah Bloom Raskin,Richmond,2010-10-04,2014-03-13,Governor
Sherman J. Maisel,San Francisco,1965-04-30,1972-05-31,Governor
Stanley Fischer,New York,2014-05-28,2017-10-16,Governor
Stanley Fischer,New York,2014-06-16,2017-10-16,Vice Chair
Stephen S. Gardner,Philadelphia,1976-02-13,1978-11-19,Governor
Stephen S. Gardner,Philadelphia,1976-02-13,1978-11-19,Vice Chair
Susan M. Phillips,Chicago,1991-12-02,1998-06-30,Governor
Susan S. Bies,Chicago,2001-12-07,2007-03-30,Governor
Thomas B. McCabe,Philadelphia,1948-04-15,1951-03-31,Governor
Thomas B. McCabe,Philadelphia,1948-04-15,1951-03-31,Chair
W.G. McAdoo,Secretary of the Treasury,1913-12-23,1918-12-15,Governor
W.P.G. Harding,Atlanta,1914-08-10,1922-08-09,Governor
Wayland W. Magee,Kansas City,1931-05-18,1933-01-24,Governor
Wayne D. Angell,Kansas City,1986-02-07,1994-02-09,Governor
William H. Woodin,Secretary of the Treasury,1933-03-04,1933-12-31,Governor
William W. Sherrill,Dallas,1967-05-01,1971-11-15,Governor
"Wm. McC. Martin, Jr",New York,1951-04-02,1970-01-31,Chair
"Wm. McC. Martin, Jr.",New York,1951-04-02,1970-01-31,Governor
